jurisdiction_name,jurisdiction_id,data_source,conditions_included,subjurisdiction_type,website_dashboard_link
Colorado,CO,USDT,measles; meningococcus; pertussis,county,
Connecticut,CT,USDT,measles; meningococcus; pertussis,planning area,
Idaho,ID,USDT,measles; meningococcus; pertussis,region,
Illinois,IL,USDT,measles; meningococcus; pertussis,region,https://dph.illinois.gov/topics-services/diseases-and-conditions/infectious-diseases/infectious-diseases-dashboard.html
Indiana,IN,USDT,measles; meningococcus; pertussis,county,
Massachusetts,MA,USDT,measles; meningococcus; pertussis,county,https://www.mass.gov/dph-data-library
Michigan,MI,USDT,measles; meningococcus; pertussis,region,
Minnesota,MN,USDT,measles; meningococcus; pertussis,county,
Oregon,OR,USDT,measles; meningococcus; pertussis,county,https://data.oregon.gov/browse?q=communicable+disease&sortBy=relevance&pageSize=20&page=1
Tennessee,TN,USDT,measles; meningococcus; pertussis,region,
Alaska,AK,NNDSS,measles; meningococcus; pertussis,state or territory only,
Alabama,AL,NNDSS,measles; meningococcus; pertussis,state or territory only,
Arkansas,AR,NNDSS,measles; meningococcus; pertussis,state or territory only,
Arizona,AZ,NNDSS,measles; meningococcus; pertussis,state or territory only,
California,CA,NNDSS,measles; meningococcus; pertussis,state or territory only,
District of Columbia,DC,NNDSS,meningococcus; pertussis,state or territory only,
Delaware,DE,NNDSS,meningococcus; pertussis,state or territory only,
Florida,FL,NNDSS,measles; meningococcus; pertussis,state or territory only,
Georgia,GA,NNDSS,measles; meningococcus; pertussis,state or territory only,
Guam,GU,NNDSS,pertussis,state or territory only,
Hawaii,HI,NNDSS,measles; meningococcus; pertussis,state or territory only,
Iowa,IA,NNDSS,measles; pertussis,state or territory only,
Kansas,KS,NNDSS,measles; meningococcus; pertussis,state or territory only,
Kentucky,KY,NNDSS,measles; meningococcus; pertussis,state or territory only,
Louisiana,LA,NNDSS,measles; meningococcus; pertussis,state or territory only,
Maryland,MD,NNDSS,measles; meningococcus; pertussis,state or territory only,
Maine,ME,NNDSS,measles; meningococcus; pertussis,state or territory only,
Missouri,MO,NNDSS,pertussis,state or territory only,
Mississippi,MS,NNDSS,meningococcus; pertussis,state or territory only,
Montana,MT,NNDSS,measles; meningococcus; pertussis,state or territory only,
North Carolina,NC,NNDSS,measles; meningococcus; pertussis,state or territory only,
North Dakota,ND,NNDSS,measles; meningococcus; pertussis,state or territory only,
Nebraska,NE,NNDSS,measles; meningococcus; pertussis,state or territory only,
New Hampshire,NH,NNDSS,measles; pertussis,state or territory only,
New Jersey,NJ,NNDSS,measles; meningococcus; pertussis,state or territory only,
New Mexico,NM,NNDSS,measles; meningococcus; pertussis,state or territory only,
Nevada,NV,NNDSS,measles; meningococcus; pertussis,state or territory only,
New York,NY,NNDSS,measles; meningococcus; pertussis,state or territory only,
New York City,NYC,NNDSS,measles; meningococcus; pertussis,state or territory only,
Ohio,OH,NNDSS,measles; meningococcus; pertussis,state or territory only,
Oklahoma,OK,NNDSS,measles; meningococcus; pertussis,state or territory only,
Pennsylvania,PA,NNDSS,measles; meningococcus; pertussis,state or territory only,
Puerto Rico,PR,NNDSS,pertussis,state or territory only,
Rhode Island,RI,NNDSS,measles; meningococcus; pertussis,state or territory only,
South Carolina,SC,NNDSS,measles; meningococcus; pertussis,state or territory only,
South Dakota,SD,NNDSS,measles; pertussis,state or territory only,
Texas,TX,NNDSS,measles; meningococcus; pertussis,state or territory only,
Utah,UT,NNDSS,measles; pertussis,state or territory only,
Virginia,VA,NNDSS,measles; meningococcus; pertussis,state or territory only,
Vermont,VT,NNDSS,measles; meningococcus; pertussis,state or territory only,
Washington,WA,NNDSS,measles; meningococcus; pertussis,state or territory only,
Wisconsin,WI,NNDSS,measles; meningococcus; pertussis,state or territory only,
West Virginia,WV,NNDSS,meningococcus; pertussis,state or territory only,
