jurisdiction_name,jurisdiction_id,data_source,conditions_included,subjurisdiction_type,website_dashboard_link
Connecticut,CT,USDT,measles; meningococcus; pertussis,planning area,
Idaho,ID,USDT,measles; meningococcus; pertussis,region,
Illinois,IL,USDT,measles; meningococcus; pertussis,region,https://dph.illinois.gov/topics-services/diseases-and-conditions/infectious-diseases/infectious-diseases-dashboard.html
Massachusetts,MA,USDT,measles; meningococcus; pertussis,county,
Michigan,MI,USDT,measles; meningococcus; pertussis,region,
Minnesota,MN,USDT,measles; meningococcus; pertussis,county,
Oregon,OR,USDT,measles; meningococcus; pertussis,county,https://data.oregon.gov/browse?q=communicable+disease&sortBy=relevance&pageSize=20&page=1
Tennessee,TN,USDT,measles; meningococcus; pertussis,region,
Alaska,AK,NNDSS,acute hepatitis b; measles; meningococcus; mumps; pediatric flu mortality; pertussis,state or territory only,
Alabama,AL,NNDSS,acute hepatitis b; hepatitis a; measles; meningococcus; mpox; mumps; pediatric flu mortality; pertussis; varicella,state or territory only,
Arkansas,AR,NNDSS,acute hepatitis b; hepatitis a; measles; meningococcus; pediatric flu mortality; pertussis; varicella,state or territory only,
Arizona,AZ,NNDSS,acute hepatitis b; hepatitis a; measles; meningococcus; mpox; mumps; pediatric flu mortality; pertussis; varicella,state or territory only,
California,CA,NNDSS,acute hepatitis b; hepatitis a; measles; meningococcus; mpox; mumps; pediatric flu mortality; perinatal hepatitis b; pertussis; varicella,state or territory only,
Colorado,CO,NNDSS,acute hepatitis b; hepatitis a; measles; meningococcus; mpox; mumps; pediatric flu mortality; perinatal hepatitis b; pertussis; varicella,state or territory only,
District of Columbia,DC,NNDSS,acute hepatitis b; hepatitis a; meningococcus; mpox; pediatric flu mortality; pertussis; varicella,state or territory only,
Delaware,DE,NNDSS,acute hepatitis b; hepatitis a; meningococcus; mpox; pertussis; varicella,state or territory only,
Florida,FL,NNDSS,acute hepatitis b; hepatitis a; measles; meningococcus; mpox; mumps; pediatric flu mortality; pertussis; varicella,state or territory only,
Georgia,GA,NNDSS,acute hepatitis b; hepatitis a; measles; meningococcus; mpox; mumps; pediatric flu mortality; pertussis; varicella,state or territory only,
Guam,GU,NNDSS,pertussis; varicella,state or territory only,
Hawaii,HI,NNDSS,hepatitis a; measles; meningococcus; mpox; mumps; pediatric flu mortality; pertussis; varicella,state or territory only,
Iowa,IA,NNDSS,acute hepatitis b; hepatitis a; measles; mumps; pediatric flu mortality; pertussis,state or territory only,
Indiana,IN,NNDSS,acute hepatitis b; hepatitis a; measles; meningococcus; mpox; mumps; pediatric flu mortality; pertussis; varicella,state or territory only,
Kansas,KS,NNDSS,acute hepatitis b; hepatitis a; measles; meningococcus; mpox; mumps; pediatric flu mortality; pertussis,state or territory only,
Kentucky,KY,NNDSS,acute hepatitis b; hepatitis a; measles; meningococcus; mpox; mumps; pediatric flu mortality; pertussis; varicella,state or territory only,
Louisiana,LA,NNDSS,hepatitis a; measles; meningococcus; mpox; mumps; pediatric flu mortality; pertussis; varicella,state or territory only,
Maryland,MD,NNDSS,acute hepatitis b; hepatitis a; measles; meningococcus; mpox; mumps; pediatric flu mortality; pertussis,state or territory only,
Maine,ME,NNDSS,acute hepatitis b; hepatitis a; measles; meningococcus; mpox; pediatric flu mortality; pertussis; varicella,state or territory only,
Missouri,MO,NNDSS,acute hepatitis b; hepatitis a; mpox; pediatric flu mortality; pertussis; varicella,state or territory only,
Mississippi,MS,NNDSS,acute hepatitis b; hepatitis a; meningococcus; mpox; mumps; pediatric flu mortality; pertussis; varicella,state or territory only,
Montana,MT,NNDSS,acute hepatitis b; measles; meningococcus; mpox; mumps; pertussis; varicella,state or territory only,
North Carolina,NC,NNDSS,acute hepatitis b; hepatitis a; measles; meningococcus; mpox; mumps; pediatric flu mortality; pertussis; varicella,state or territory only,
North Dakota,ND,NNDSS,hepatitis a; measles; meningococcus; pediatric flu mortality; pertussis; varicella,state or territory only,
Nebraska,NE,NNDSS,acute hepatitis b; hepatitis a; measles; meningococcus; mpox; mumps; pediatric flu mortality; pertussis; varicella,state or territory only,
New Hampshire,NH,NNDSS,acute hepatitis b; hepatitis a; measles; mpox; pediatric flu mortality; pertussis; varicella,state or territory only,
New Jersey,NJ,NNDSS,acute hepatitis b; hepatitis a; measles; meningococcus; mpox; mumps; pediatric flu mortality; pertussis; varicella,state or territory only,
